"Source","Start_Time","Start_Lat","Start_Lng","Description","Street","City","County","State","Humidity...","Pressure.in.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Crossing","Junction","Railway","Station","Stop","Traffic_Signal","Visibility_Category","Severity_Category","is_day_light","Distance.km.","Temperature.C.","Wind_Chill.C.","duration","Start_Date","idx_original","Start_Time_Cat","hospital_nearby","traffic_light_nearby","traffic_sign_nearby","police_nearby","commercial_area_nearby","school_zone_nearby"
"Source2","15:11:13",41.926895,-73.912605,"Right hand shoulder blocked due to accident on NY-308 Market St Eastbound at US-9 Mill St.","Mill St","Rhinebeck","Dutchess","NY",55,29.75,"West",5.8,0,"Scattered Clouds","False","True","False","False","True","False","True","Bona_Visibilitat","Poc impacte",1,0,28.889,0.056,29.65,"2018-08-09",1,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","01:09:23",40.861739,-73.804528,"Closed at Shore Rd - Road closed due to accident."," City Island Rd","Bronx","Bronx","NY",84,30.35,"ESE",3.5,0.05,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte molt fort/alt",0,0.835,17.222,-4.278,360,"2017-10-23",2,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source2","13:08:47",40.806892,-73.924423,"Right lane blocked due to accident on I-87 Major Deegan Expy Northbound before Exit 2 Willis Ave.","Willis Ave","Bronx","Bronx","NY",61,30.16,"SSE",9.2,0.13,"Partly Cloudy","False","True","True","False","False","False","True","Poca_Visibilitat","Impacte considerable",1,0,32.778,-5.778,29.1666666666667,"2018-07-03",3,"Tarde","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE"
"Source1","09:09:16",40.73525,-73.91933,"At I-495/Long Island Expy/Exit 35 - Accident. Left lane blocked.","Brooklyn Queens Expy","Woodside","Queens","NY",79,30.4,"NE",6.9,0.04,"Overcast","False","True","False","False","True","True","False","Bona_Visibilitat","Poc impacte",1,0.571,3.889,1.111,360,"2018-01-11",4,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source1","10:20:50",39.668849,-74.893042,"Between Williamstown-Winslow Rd/Exit 33 and RT-73/Exit 31 - Accident.","Atlantic City Expy E","Hammonton","Camden","NJ",70,29.95,"NNW",27.6,0,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,2.786,5,-1,360,"2018-03-03",5,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Source2","20:59:28",40.220642,-74.033134,"Accident on NJ-35 at Monroe Ave.","State Route 35 N","Neptune","Monmouth","NJ",80,29.81,"Calm",0,0.06,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0,10,5.833,59.6666666666667,"2018-10-12",6,"Noche","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source1","16:45:26",40.73547,-73.85982,"At Junction Blvd/Exit 19 - Accident.","Long Island Expy E","Rego Park","Queens","NY",43,30.36,"SSE",8.1,0,"Overcast","False","False","False","False","True","False","False","Bona_Visibilitat","Poc impacte",1,0.425,5.611,2.833,360,"2018-03-27",7,"Tarde","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","07:19:44",40.749386,-73.617966,"Accident on Glen Cove Rd at Westbury Ave.","Glen Cove Rd","Carle Place","Nassau","NY",77,30.11,"WNW",3.5,0,"Clear","False","True","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0,12.222,-4.222,29.8833333333333,"2017-10-20",8,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","17:31:35",42.60904,-71.11895,"At Wildwood Rd - Accident."," By Pass Rd","Andover","Essex","MA",70,30.49,"ESE",4.6,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,2.079,2.222,0.056,360,"2017-01-10",9,"Tarde","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"Source2","07:49:33",42.646511,-71.186096,"Accident now on the shoulder on 93 Northbound before MA-133 Lowell St.","I-93 N","Andover","Essex","MA",46,30.51,"Calm",0,0.03,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,7.222,-0.333,29.75,"2018-04-23",10,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","15:38:33",40.785072,-73.648865,"Right lane closed due to accident on I-495 Long Island Expy Eastbound at Willis Ave.","Willis Ave","Roslyn Heights","Nassau","NY",64,29.97,"SE",12.7,0.01,"Overcast","False","True","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,18,-5.278,29.2666666666667,"2018-06-03",11,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","08:43:30",43.131962,-77.633888,"Accident on NY-383 Plymouth Ave near Genesse Street.","Plymouth Ave S","Rochester","Monroe","NY",90,29.64,"SSW",13.8,0,"Light Rain","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0,15,-1.333,29.1,"2018-01-12",12,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","12:04:18",40.74107,-73.84342,"At Grand Central Pky/Exit 22 - Accident. Left lane blocked.","Long Island Expy W","Corona","Queens","NY",32,29.77,"West",18.4,0.02,"Partly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0.634,26.722,-9.889,360,"2018-06-14",13,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","13:58:11",40.646641,-74.575516,"Left lane closed due to accident on I-78 Eastbound at Exit 33 County Hwy-525 Liberty Corner Rd.","Liberty Corner Rd","Basking Ridge","Somerset","NJ",38,29.81,"North",10.4,0,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,30,-3.667,29.5833333333333,"2018-06-19",14,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source2","12:10:47",43.124844,-77.614258,"Accident on County Hwy-87 Elmwood Ave both ways at South Ave.","South Ave","Rochester","Monroe","NY",83,30.22,"East",17.3,0.01,"Light Rain","False","True","False","False","False","False","True","Bona_Visibilitat","Poc impacte",1,0,13.889,4.889,29.7166666666667,"2017-10-11",15,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","17:04:17",39.87241,-75.037514,"Accident on County Hwy-669 Warwick Rd at Tillman St.","I-295 S","Lawnside","Camden","NJ",96,30.62,"NE",6.9,0.02,"Rain","False","False","True","False","False","False","False","Molt_Poca_Visibilitat","Poc impacte",1,0,3.889,1.111,59.25,"2018-02-22",16,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","16:18:07",42.937878,-73.804817,"1 right lane blocked due to accident on I-87 Adirondack Northway Southbound at Exit 11 County Hwy-80 Curry Ave.","I-87 S","Ballston Lake","Saratoga","NY",75,29.99,"West",11.5,0.01,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,3,-1.222,29.7333333333333,"2017-11-22",17,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","16:31:06",42.949802,-78.763031,"Accident on I-90 Westbound at Exit 50 I-290.","New York Trwy W","Buffalo","Erie","NY",92,29.78,"WSW",12.7,0.01,"Light Snow","False","False","False","False","False","False","False","Molt_Poca_Visibilitat","Impacte considerable",1,0,-0.611,-6,29.5833333333333,"2018-03-09",18,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","06:11:45",41.993906,-73.733969,"At CR-2/Jackson Corners-Mt Ross Rd - Accident.","Taconic State Pkwy N","Red Hook","Dutchess","NY",93,30.1,"Calm",0,0,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,2.403,4.389,-9.833,360,"2017-04-24",19,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","18:37:24",39.65143,-74.34769,"At CR-539/Exit 58 - Accident.","Garden State Pkwy N","Tuckerton","Ocean","NJ",48,29.88,"SW",11.5,0,"Scattered Clouds","False","False","True","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0.668,29.389,-0.222,360,"2017-06-21",20,"Noche","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source1","18:45:45",40.83478,-73.86594,"At White Plains Rd/Exit 5 - Accident. Left lane blocked. Center lane blocked.","Cross Bronx Expy W","Bronx","Bronx","NY",63,30.14,"Variable",6.9,0,"Mostly Cloudy","False","True","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",0,0.275,20,-11.889,29.6333333333333,"2018-10-05",21,"Noche","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","06:04:39",42.479927,-71.115067,"Accident on 93 Southbound before Montvale Ave.","I-93 S","Woburn","Middlesex","MA",83,29.87,"SSW",11.5,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",0,0.016,11.111,4.056,29.5,"2017-03-08",22,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
